[0.0, 2.907844117838549]
[2.907844117838549, 0.0]
[2.7275169348378023, 2.210852042002189]
[2.6902143676311363, 1.9216433154119026]
[2.610194994767249, 2.1512964387390343]
[4.16560177905627, 3.6478641027556105]
[2.7607300473309144, 2.7456079325185887]
[3.4243310418911754, 3.0995186064545974]
[4.527102401132095, 4.531979047112889]
[3.0982354783784176, 2.664713041467223]
[2.9364463506199128, 2.7313282906644982]
[3.6710401999155504, 3.4276717782838024]
[3.3934001119321304, 2.614887168114764]
[3.907778313906285, 3.567036763800661]
[3.0202923888665985, 2.708223921451704]
[3.191964193422602, 2.4442179178073]
[2.5407328741762676, 2.367206386896008]
[2.900333606934381, 2.712487262281475]
[3.406580268233085, 2.9562570727743296]
[4.065493511300195, 3.1836097940266255]
[3.669793505780128, 3.082289456244699]
[3.0990456221504727, 3.2308178876665674]
[4.389849030186801, 4.2266432294031215]
[2.7233851297768195, 2.1373604737539593]
[3.192536390692204, 2.8455205910879027]
[3.2326542533723335, 2.6805240825962566]
[3.1543451512582985, 2.937763257093055]
[2.6486393507709773, 1.9838308197847296]
[3.6408303920413547, 3.5096300971156853]
[3.3879385879580224, 2.966647676513382]
[2.576255176985239, 1.9074696723320403]
[3.125288458634658, 2.429211793265513]
[2.9287768140796, 2.1468056168031384]
[2.8297987429299636, 2.8565368145447114]
[2.5523127099307406, 1.940976039767687]
[2.9828044169027823, 2.256325127603621]
[2.543424711800017, 1.6838496897670976]
[2.605402607818272, 2.466314151820891]
[2.621040464032509, 1.7878591216408803]
[4.355500158844274, 3.6353827121829627]
[3.4276778805696577, 2.5641665109638936]
[3.4058337396159333, 2.3965177650210525]
[3.2950730663572556, 2.8764621985043113]
[5.3503631951727355, 5.12180040222608]
[2.6349780294323613, 2.532362917786864]
[3.406728631703148, 3.3804019818983435]
[3.0325820600902125, 2.6340123279184273]
[3.562741376116009, 2.997266978706976]
[3.4335531507005967, 3.0976791130598484]
[3.369144026633322, 2.7637718411039742]
[4.8009529338714625, 4.296182537316036]
[2.832000322704034, 2.571780260679263]
[3.1489032967830246, 2.812061180630366]
[3.5176832817748114, 2.9665734935885624]
[3.1940318498642117, 2.941351933983124]
[3.7020985690275388, 2.831864722460451]
[3.5259213927706883, 3.6607599471907797]
[2.89613720887288, 2.6953064303026375]
[2.903494115833541, 2.4248630255025243]
[2.707635165134145, 1.9946759201038782]
[2.8654170462598887, 2.0567157724635896]
[2.5713527529277265, 1.882437395208204]
[3.241395326422675, 2.8128733914697435]
[2.6562634128794533, 1.798263096255176]
[3.2585666489890914, 2.9146235639254083]
[2.58652366450749, 2.2173181158149142]
[3.9442160402405366, 4.001243993888463]
[4.398692270970998, 4.328183844530666]
[3.2331823732748215, 2.9562018507612526]
[3.2661344466979614, 3.125380461285515]
[4.438748634627304, 3.716962127169444]
[2.4821612620929767, 1.8953110607249275]
[2.5922330313260327, 1.7558758849584166]
[3.5520914694607724, 2.9465823206977007]
[3.197143856920424, 2.6130914816868263]
[3.264658596697172, 2.695166679738379]
[2.7927054475579762, 2.3300788791850486]
[3.3397719083170943, 2.9329845359788806]
[3.266577931851314, 2.744087644646987]
[4.070615579820453, 3.8209125961202317]
