Loop 1
[0.0, 0.0010802167339392843]
[0.0010802167339392843, 0.0]
[0.0013271684115976478, 0.0015672584512358414]
[0.001243514236104509, 0.001166770490709495]
[0.0015651006892806157, 0.0019184700061336847]
[0.0012480779699759028, 0.0016078981575552425]
[0.0011901346743885017, 0.001038963639903406]
[0.0010990163921648787, 0.0013560519333544435]
[0.0013072761596119888, 0.0009397046077637736]
[0.0017048992695796906, 0.0013468682601085232]
[0.0019520426703403882, 0.0014673807701373412]
[0.001904349099155181, 0.0014958978168513745]
[0.0018755249138676466, 0.0014979262497306438]
[0.0017612075510635443, 0.0015244964285678233]
[0.0011815517591975402, 0.0012747411660217276]
[0.0029426170473024807, 0.0024425376789624946]
[0.0023543309438399927, 0.0019170690181654643]
[0.0012029994069029121, 0.001277239120965024]
[0.001051542520791674, 0.001285357180077155]
[0.0012779055965583502, 0.0013106257237414255]
[0.001817696082497918, 0.001594846714475972]
[0.002705697990462271, 0.002364730641358563]
[0.003768368334999053, 0.0033096146060120645]
[0.0032392678092022804, 0.00290094600404504]
[0.004005996821842811, 0.0036090368461490687]
[0.0010870737934229034, 0.0012893492555662927]
[0.002914274848645854, 0.002480126773911781]
[0.00257762929536815, 0.002275736244393348]
[0.0010308408467688732, 0.0011471075469500736]
[0.001203576372898888, 0.001589897418001708]
[0.0011324723075419724, 0.0011920403475333796]
[0.0009967736727777654, 0.0012597175893041175]
[0.004746899804055692, 0.00435449979492708]
[0.005754740077389063, 0.005338683939811549]
[0.0024142087458133756, 0.00199171597774245]
[0.004251673155255702, 0.0038892913642494973]
[0.004674629843790393, 0.004260914868959126]
[0.0010390767927292168, 0.0011507376049222614]
[0.002425787640223112, 0.002096393822150337]
[0.0032701491134440844, 0.0028212528834995016]
[0.00407228510827689, 0.0036164442465055073]
[0.0011776360576322854, 0.001267253330516461]
[0.002185151042261679, 0.001780269618012824]
[0.001932569342959868, 0.0015897007009234366]
[0.002126760893747493, 0.0017876439379425088]
[0.0015531267848872571, 0.0013225586411820668]
[0.0020510535229076657, 0.0016889065064117383]
[0.004404476060166979, 0.004025305582179478]

Loop 2
[0.0008084174939577208, 0.002379185216858368]
[0.0010971759017194519, 0.001932037955612652]
[0.0008704807924223365, 0.003047787034510048]
[0.001092111131307899, 0.0021217163638528463]
[0.0011014001630590508, 0.0034371090957581512]
[0.0008623596599535071, 0.0031859746058604476]
[0.00109407650730066, 0.0018664578214193054]
[0.0006309987834281146, 0.0028356329438876016]
[0.0012122679640507482, 0.001799250548827959]
[0.0016978741280300907, 0.0014012488471722784]
[0.0020247953427599734, 0.0011598846102285187]
[0.0018954032043914674, 0.0011539478064293647]
[0.0019317716582111775, 0.0013190700672202197]
[0.001752713209382249, 0.0014015731498988535]
[0.0010287950273158973, 0.002070431657461708]
[0.0030642012295720553, 0.0012625623319780157]
[0.002388053559859092, 0.0010325251857601233]
[0.000743090372332502, 0.0026176055837587925]
[0.0007032610126986441, 0.0025964122937610183]
[0.001047858512877096, 0.002196969751408528]
[0.0018512451184150309, 0.0012587344943652788]
[0.002829774099941427, 0.001129378663273746]
[0.003961566025916938, 0.0017498078879675993]
[0.00334034926023476, 0.0015103311532383263]
[0.00419824913294271, 0.0019302069962253657]
[0.0005973084686640112, 0.0026170825788841257]
[0.0030075462815552707, 0.0011310271360634831]
[0.0027368228065845395, 0.0011340646660979417]
[0.0008225123675380332, 0.002199726896968395]
[0.0007019372009782627, 0.003004955043808095]
[0.0008286369528886505, 0.0020777226610587413]
[0.0005551673594554683, 0.002604515967439738]
[0.004930042221496235, 0.0026859410953301243]
[0.005955431507600129, 0.003586089781309644]
[0.0024629631678741125, 0.00101551368354529]
[0.0043941293426510795, 0.0022740850704703066]
[0.004845214696001736, 0.0025781895958128993]
[0.000729024304108991, 0.0021414052696198146]
[0.002535459242059966, 0.0010840693353205938]
[0.0033748279642529426, 0.0014784942376229672]
[0.0042444422783101425, 0.0020351287107446283]
[0.0007181154633570431, 0.002411040351606751]
[0.0022296076854112713, 0.0010915078003098063]
[0.001957670786693101, 0.0013705844969622467]
[0.0020560265552886725, 0.001341834978596407]
[0.0014523973874632939, 0.0015622861734767783]
[0.002046760802557437, 0.0011640754122630153]
[0.00457211371169075, 0.0025383743522985366]

Loop 3
