Loop 1
[0.0, 0.012914635547007435]
[0.012914635547007435, 0.0]
[0.01972562834364861, 0.015560803787181407]
[0.022353167214316367, 0.020170646498330266]
[0.024352879813521564, 0.018518805404822983]
[0.014713869788668555, 0.009846940833370512]
[0.01963055962145246, 0.018988938583879112]
[0.015560778019020307, 0.014762449453095992]
[0.01845827270187015, 0.016021547333150272]
[0.020231253639797126, 0.01761164048236269]
[0.032589520993825324, 0.028035603615433297]
[0.02411947718029386, 0.023877015650349748]
[0.025447599594336113, 0.020942441848658743]
[0.02261511723789499, 0.01891926414943343]
[0.02700148336011944, 0.022111838051509545]
[0.024374882349540706, 0.02316192252419071]
[0.023800770342842552, 0.01813085704116495]
[0.027492377994485333, 0.019721242163334773]
[0.017506818297036302, 0.015322659890689854]
[0.02832491803803175, 0.022428232179435185]
[0.020325869351107285, 0.016049964874218198]
[0.030234721493573178, 0.026686639972840702]
[0.025127571313761803, 0.022109879252119324]
[0.044869158629834587, 0.03859231051036905]
[0.031819592120278434, 0.032098609906513635]
[0.017611268220676997, 0.01003394063491002]
[0.029977855191493076, 0.02599375739778171]
[0.030535644672339497, 0.025587343558664426]
[0.028548315148155985, 0.023036769324036838]
[0.017831738063115832, 0.011900964907561644]
[0.022392277180599416, 0.01998836761736608]
[0.016837759183008817, 0.015710696067096967]
[0.037566150063668924, 0.0325961349377464]
[0.042410082391522, 0.0387637750146737]
[0.02896183998438858, 0.023918484480748542]
[0.04503243042728112, 0.04054325645231886]
[0.03277475455852207, 0.031582100441643626]
[0.023133411629529633, 0.017904613608447008]
[0.03226705157460443, 0.030918810667824533]
[0.03442647474485038, 0.0317628112697978]
[0.03599586633140742, 0.03128074602318394]
[0.016429665010951396, 0.013425511822914469]
[0.02613039367245373, 0.0231131106428283]
[0.023013483373222978, 0.022557606926038934]
[0.02605077330561395, 0.021136709515424353]
[0.02314392151847973, 0.01892137153091572]
[0.024328635485950177, 0.022236870181925442]
[0.021639810810692113, 0.019610726555701473]

Loop 2
[0.015909796060139217, 0.01745126026439637]
[0.018585819162632036, 0.011159466859214307]
[0.029914972320974825, 0.02215067750393941]
[0.0309346058848504, 0.020976374206498272]
[0.02976444381882277, 0.018845115144502378]
[0.02069665368591463, 0.013356426811160916]
[0.016572321856362177, 0.011751211119149861]
[0.020028136786372736, 0.015104826723212911]
[0.022341283587690344, 0.016950724178813565]
[0.020593353750770284, 0.015501211655159199]
[0.034130690975808065, 0.024024040241381363]
[0.024364797374044667, 0.01542104249381163]
[0.02277378213294986, 0.01335162541162958]
[0.019696370764666165, 0.02051360546114228]
[0.028764326677087004, 0.019114051831892135]
[0.023079840594074558, 0.02106631487903134]
[0.026687165449184515, 0.01624398762448961]
[0.0270207142632195, 0.014940280809546909]
[0.020075359400902805, 0.013384129275062431]
[0.03533600914818562, 0.02212308353106813]
[0.020288782938079543, 0.011975306281292373]
[0.024633358591475963, 0.023358792577792404]
[0.02588810629549761, 0.020508306162989338]
[0.04192682105376571, 0.03278217674972943]
[0.015909796060139217, 0.027925246408152037]
[0.02145389147885224, 0.01330628093878217]
[0.024040320072151327, 0.019115296909968514]
[0.029557069186900292, 0.020133192556378115]
[0.026830290084388846, 0.017478457235025554]
[0.022888611988521997, 0.012358418953114321]
[0.01923550599784782, 0.010877458977030675]
[0.020840396871588278, 0.016249995258780025]
[0.03541454649184082, 0.032755239557358554]
[0.03738301365856476, 0.032518233386631894]
[0.024228124199976157, 0.01908165901219895]
[0.03695662996805014, 0.03271021551746116]
[0.026012062106198476, 0.026000793036919094]
[0.02372759380479611, 0.014313588681995537]
[0.03177613663250824, 0.02589766480992707]
[0.029099982806206036, 0.026483872513663954]
[0.02923749361133855, 0.02620628753383322]
[0.01743387600297416, 0.010019893694844099]
[0.022881333488900413, 0.023749947996621067]
[0.02886445170548557, 0.019180513899456447]
[0.026825620864024614, 0.02210896553324809]
[0.024724226527919283, 0.016742447143657396]
[0.021774797947333155, 0.018419976568022522]
[0.02063918024302148, 0.017532269557324502]

Loop 3
[0.0161087215659102, 0.017726286883545772]
[0.015169864920923603, 0.011527864799421443]
[0.02752798235341825, 0.022195917161246536]
[0.02999261484959032, 0.020727874028427545]
[0.026727088505769433, 0.01882888070941179]
[0.019024548711174195, 0.013453131111788304]
[0.017286998229767512, 0.011730325629454098]
[0.018594932503211915, 0.015272263774816872]
[0.018861278089650255, 0.017281516624744298]
[0.019271392191640726, 0.01564097987956041]
[0.030083978879705216, 0.024124228392197865]
[0.025305950451386748, 0.015010021300541307]
[0.02199389537259855, 0.01318652290273347]
[0.015333385937375087, 0.02107396526791805]
[0.026216205000882124, 0.01910490970605365]
[0.023795573487795436, 0.02108590676739257]
[0.02555145938069518, 0.016024914145169624]
[0.024819489841694412, 0.014780421815711403]
[0.019884087880257514, 0.01332551844165039]
[0.03405414259377954, 0.021700787319814972]
[0.018028647192786487, 0.01212456569524463]
[0.02580549778053296, 0.023353680648657196]
[0.023813666316120117, 0.02065270775303436]
[0.04034427436600264, 0.03260934852590589]
[0.01926767350635268, 0.028300850864513213]
[0.018946656136657164, 0.013465089498093778]
[0.02348811062821409, 0.01913206261851059]
[0.029871790876778395, 0.01975540918190443]
[0.026563676942843055, 0.017200929989786475]
[0.022481535798338864, 0.012060472776395173]
[0.019876224712870576, 0.010607403454666257]
[0.020365719715596232, 0.016310049196021397]
[0.03499833907824258, 0.03279094431378942]
[0.03498249420868839, 0.032644862434467535]
[0.022448792938936323, 0.01922094882839101]
[0.03743295121330124, 0.03257616103668909]
[0.02554266036950128, 0.026194100090898377]
[0.02323846869983784, 0.01409274026712848]
[0.0333007887793012, 0.02557683989565904]
[0.029786760567042297, 0.026439091110062072]
[0.02840162094185735, 0.0262949908986401]
[0.016290750055666343, 0.01012755387829916]
[0.017404508748310933, 0.024369560694282987]
[0.028304112044629376, 0.018909579283245454]
[0.02249311176917662, 0.022486802671918625]
[0.02163719024365857, 0.016917217153501068]
[0.021034681389487265, 0.01854623462815023]
[0.01788611993804447, 0.017875908900966173]

Loop 4
[0.017833710658873504, 0.017688281319158967]
[0.01670919672624024, 0.011362823596879599]
[0.028423115986839456, 0.02201950591408588]
[0.030564421718369844, 0.02046654862140664]
[0.026958469159051267, 0.018678974687689892]
[0.02023444297976414, 0.01324556286309176]
[0.016229452639799545, 0.011923159710093821]
[0.019506086280039702, 0.015191371677095738]
[0.019158031667463014, 0.01732629518763814]
[0.018790369746822192, 0.015748364798571567]
[0.03029226386220408, 0.024024828100896376]
[0.023611583441430137, 0.015148419288222291]
[0.02127102942405442, 0.013210021459352546]
[0.016933989142885138, 0.021146072757274245]
[0.025550213597214887, 0.019123302023116143]
[0.024942877552552267, 0.02096364927236729]
[0.0250667534245262, 0.015957100562969867]
[0.024965636058987484, 0.014579403308465329]
[0.019170794537954946, 0.013413904480223567]
[0.03378523922808848, 0.02147596572728579]
[0.017596090088665053, 0.012200253584997814]
[0.026726563298268214, 0.0232627299182434]
[0.02242760072152985, 0.020854441670174608]
[0.039569714074118294, 0.032582717221511265]
[0.018699435314472997, 0.028594215141691234]
[0.019623379079607994, 0.013354072145787299]
[0.02397243104506582, 0.019058721745634423]
[0.028481572506894613, 0.019804623348301027]
[0.025964345979911083, 0.017152050866134222]
[0.022455273580005992, 0.011891610116756395]
[0.01881289810965732, 0.010720037015925525]
[0.022430514013373995, 0.016014771369278924]
[0.03597927467751058, 0.03267812176491747]
[0.031631077630577396, 0.033047833396461876]
[0.020992496846610295, 0.01943868623003508]
[0.03575497998386382, 0.03273787067334339]
[0.020434128295601022, 0.026803265209291365]
[0.022548512732097757, 0.014090000109739691]
[0.033195772606079206, 0.025467629919354397]
[0.028909212437074075, 0.02654857799295242]
[0.029693758284615977, 0.02615736160137929]
[0.015582514250821208, 0.010275947421741214]
[0.017851669290973596, 0.024556022384698246]
[0.028938625866946562, 0.01863392281242149]
[0.022240522241704763, 0.022608692775039387]
[0.020260149055105352, 0.01711310365212675]
[0.019748031898868916, 0.018760681861904518]
[0.01909128464939558, 0.017847890923640433]

Loop 5
[0.023650893428311066, 0.01713813947054651]
[0.02027853425645918, 0.011050720221614328]
[0.032247939116408324, 0.021434907543875992]
[0.031541869717215856, 0.020331663507044382]
[0.030067440671374925, 0.01816640983750646]
[0.02522561771111689, 0.012365191341175976]
[0.018668820874515452, 0.011939520629284692]
[0.02517547953811, 0.0143688336077288]
[0.023682726119375407, 0.01692205716200599]
[0.022623789638310108, 0.01543593275906439]
