Loop 1

Cluster 1 has 46 objects: 
1.(0.0019111428099373975, 0.0035649725080778203, -0.000769702469309171, 0.0016297205661733945, 0.00027349474063764013, 0.0021186808977896967, -0.002804014707605044, 0.006366411208485564, 0.00023738260691364606, 0.003750214943041404, 0.003223688124368588, 0.00403994315614303, 0.001783718541264534)
2.(0.00279503648635, -0.0015707374550402164, 0.0029608753587429724, 0.003816644234272341, 0.006417542152727644, 0.0029356080883493024, 0.003282763995230198, 0.009114648652030155, 0.0034446228470187633, 0.0021954224444925784, 0.0054068859045704205, -0.003997397841885686, -0.003801497514359653)
3.(-0.003986911964117704, 0.0017041966474304596, 0.00997709040530026, 0.008078806071231763, -0.00561728507746011, -0.00020137372969960174, -0.0036834613730510075, 0.005397925432771444, -0.0023008262428144614, 0.0036903855778897803, 0.00816594841890037, -0.007712685578735545, 0.0009295826583790282)
4.(0.0015429654313872257, -0.00892720753327012, 0.00039078849367797376, 0.001828024365628759, 0.0034051610777775447, -0.0010308479269345602, 0.001680859310242037, 0.0012702647368617666, -0.0004574257725228866, -0.000876817898824811, -0.000941900125083824, -0.002760017030717184, 0.007621057651704177)
5.(0.0004569008791198333, 0.0017082711992164453, -0.0006144523154944182, 0.003921902365982532, 0.0017696231293181579, -0.0012606165371835231, -0.000381118874065578, 0.0034118947262565297, 0.0002640088399251302, 0.005223790556192398, -0.0016926611463228861, 0.001701608051856359, -0.0033205743568638963)
6.(-0.0007386326479415099, 0.00528601985424757, -0.0005927674656656261, -0.0033784978712598484, -0.008390133822103962, 0.00041113387948522965, -0.0064426296390593055, -0.0019161921848232547, -0.0008910775184631347, 0.007188581116497517, -0.006651610295133044, -0.003091827795530359, 0.0038302381290122867)
7.(0.007874827366322279, 6.847394009431203e-07, -0.004271196915457646, -0.0022987328624973695, -0.0021174074461062747, -0.00017105831454197566, -0.002001578453928232, -0.002429544541519135, 0.0009043583335975806, 0.0008438723472257455, -0.0016367880317072073, 0.0005139842474212249, -0.0010529457591474055)
8.(0.002178508326566468, -0.001432691413598756, -0.00921430808569615, -0.0017221075172225635, 0.0019452961646796514, 0.0025687196602423986, 0.0014209263511778165, -0.0013830919750034809, -0.0003285852571328481, 0.00929689227292935, 0.0003831493823478619, -0.0013054359859476486, 0.0011013216882323226)
9.(0.00130081051417316, 0.006189784320304171, -0.007276627712417394, -0.007726957540338238, -1.0300557672356566e-05, 0.001066066805894176, 0.001005030021769926, -0.004584070605536302, -0.004394046418989698, 0.0012411328963935376, 0.0019752469263039528, 0.004699602909386158, -0.0009858378762146458)
10.(-0.00039968135339828826, -0.0008183573372662067, -0.0023673075910968086, 0.001606794601927201, -0.003874567096378693, 0.0017353732138872147, -0.015685944321254888, 0.00764132640324533, -0.013146178564056754, 0.0020244703046046197, 0.0029577860065425434, -0.011948438306959967, 0.013452861718057344)
11.(-0.00016636728153874477, 0.006246845703572035, 0.006880720045107106, -0.011607474430153768, -0.0037503092704961696, -0.006013472595562537, -0.0051658860252549255, -0.002400112470301489, -0.006703895316847289, 0.004689894942566752, -0.00023437008688536782, -0.004072899930179119, 0.007550612712899844)
12.(-0.008961963470210322, 0.006666735901186864, 0.002614386472851038, -0.0004498654355605443, -0.008746382019792994, -0.003523226035758853, -0.009261262665192286, 0.005708460688280562, -0.005276249900149802, 0.0011971294065006078, -0.0013847971810416009, -0.0030654299131128936, 0.0073517222423106435)
13.(0.0015822667783747116, 0.008793628215789795, -0.010775494559978446, -0.004702776429864267, -0.006335593038238585, 0.0013579481281340122, -0.003992636750141779, 0.014665616641286761, -0.0033755579497665167, -0.0016792135313153267, 0.007511840822796027, 0.0038307963870465754, 0.005625950273436805)
14.(-0.004049883720775445, 0.0016120537805060545, 0.0023811443058851483, -0.0033032965652334194, 0.002262262363607685, -0.00037195130717009305, 0.0018996969796717168, 0.002769327646819875, -0.009701093317319949, 0.009342053305590525, 0.004248180333524943, 3.939617114762465e-05, 0.016717066460599502)
15.(-0.0007422514938904593, 0.0041810269467532635, 0.002449334195504586, 0.010014004027470946, -0.013633476500399411, 0.0010855983554696044, -0.004480807102906207, 0.0008509601041926848, 2.0195497199892998e-05, 0.008092811501895388, -0.008241377770900726, -0.0010185865588330973, 0.008473375346511602)
16.(0.0003628775360994041, 0.009995557569588224, 0.0017221864468107621, -0.0037297756876796483, 0.0016216107954581578, 0.007668316232350965, -0.0017387073487043381, -0.004659342831534256, 0.0004465209999276946, -0.0007394536204325656, 0.005306536909968903, -0.0030498028946264336, 0.006247247976716608)
17.(-0.0038046898941198983, 0.007500321691622958, 0.0004376297234557569, -0.0008976064001520475, 0.0006153899633015195, -0.0022939029227321346, -0.007128512160852552, 0.006232090771663934, -0.009400485393901667, -0.008614282729104162, 0.0006795633429040512, -0.0009379824410037448, 0.00597846742408971)
18.(0.001217019185423851, 0.006584708171430975, -0.0018883260199800134, -0.00505380619627734, -0.0008768050543343027, 0.0042150518701722225, -0.0009550328987340133, -0.003369246105042597, 0.00015782476402819156, 0.0019174875070651373, -0.0008050857887913783, -0.0008499586023390293, -0.0038585638627409934)
19.(-0.005792732893799742, 0.007053987868130207, 0.005828045704402029, 0.0005085479856158297, 0.008292116038501263, 0.0021674811529616513, -0.00045086995620901383, -0.005272388916152219, -0.0028497527508685987, -0.0024611487518996, 0.010180628563587864, -0.003534299942354361, -0.003463767593105634)
